timestamp,portfolio_pnl,portfolio_pnl_percent,portfolio_win_rate,active_bots,total_trades
2025-11-05T14:00:20.804Z,0.00,0.00,0.00,0,0
2025-11-05T14:00:30.823Z,0.00,0.00,0.00,0,0
2025-11-05T14:00:40.833Z,0.00,0.00,0.00,0,0
2025-11-05T14:00:50.837Z,0.00,0.00,0.00,0,0
2025-11-05T14:01:00.845Z,0.00,0.00,0.00,0,0
2025-11-05T14:01:10.852Z,0.00,0.00,0.00,0,0
2025-11-05T14:01:20.863Z,0.00,0.00,0.00,0,0
2025-11-05T14:01:32.185Z,0.00,0.00,0.00,0,0
2025-11-05T14:01:42.196Z,0.00,0.00,0.00,21,0
2025-11-05T14:01:52.200Z,0.00,0.00,0.00,21,0
2025-11-05T14:02:02.207Z,0.00,0.00,0.00,21,0
2025-11-05T14:02:12.208Z,0.00,0.00,0.00,21,0
2025-11-05T14:02:22.213Z,0.00,0.00,0.00,21,0
2025-11-05T14:02:32.221Z,0.00,0.00,0.00,21,0
2025-11-05T14:02:42.232Z,0.02,0.00,100.00,21,2
2025-11-05T14:02:52.246Z,0.02,0.00,100.00,21,2
2025-11-05T14:03:02.250Z,0.02,0.00,100.00,21,2
2025-11-05T14:03:12.255Z,0.02,0.00,100.00,21,2
2025-11-05T14:05:25.450Z,0.00,0.00,0.00,0,0
2025-11-05T14:05:35.474Z,0.00,0.00,0.00,21,0
2025-11-05T14:05:45.477Z,0.00,0.00,0.00,21,0
2025-11-05T14:05:55.480Z,0.00,0.00,0.00,21,0
2025-11-05T14:06:05.495Z,0.00,0.00,0.00,21,0
2025-11-05T14:06:15.507Z,0.00,0.00,0.00,21,0
2025-11-05T14:06:25.523Z,0.00,0.00,0.00,21,0
2025-11-05T14:06:35.537Z,0.00,0.00,100.00,21,2
2025-11-05T14:06:45.543Z,0.00,0.00,100.00,21,2
2025-11-05T14:06:55.555Z,0.00,0.00,100.00,21,2
2025-11-05T14:07:05.556Z,0.00,0.00,100.00,21,2
2025-11-05T14:07:15.564Z,0.00,0.00,100.00,21,2
2025-11-05T14:07:25.566Z,0.00,0.00,100.00,21,2
2025-11-05T14:07:35.577Z,0.00,0.00,100.00,21,2
2025-11-05T14:07:45.590Z,0.00,0.00,100.00,21,2
2025-11-05T14:07:55.593Z,0.00,0.00,100.00,21,2
2025-11-05T14:08:05.595Z,0.00,0.00,100.00,21,2
2025-11-05T14:08:15.609Z,0.00,0.00,100.00,21,2
2025-11-05T14:08:25.614Z,0.00,0.00,100.00,21,2
2025-11-05T14:08:35.618Z,-0.03,-0.00,66.67,21,3
2025-11-05T14:08:45.628Z,-0.03,-0.00,66.67,21,3
2025-11-05T14:08:55.633Z,-0.03,-0.00,66.67,21,3
2025-11-05T14:09:05.639Z,-0.03,-0.00,66.67,21,3
2025-11-05T14:09:15.647Z,-0.03,-0.00,66.67,21,3
2025-11-05T14:09:25.650Z,-0.03,-0.00,66.67,21,3
2025-11-05T14:09:35.661Z,-0.03,-0.00,66.67,21,3
2025-11-05T14:09:45.672Z,-0.03,-0.00,66.67,21,3
2025-11-05T14:09:55.677Z,-0.03,-0.00,66.67,21,3
2025-11-05T14:10:05.687Z,-0.03,-0.00,66.67,21,3
2025-11-05T14:10:15.688Z,-0.03,-0.00,66.67,21,3
2025-11-05T14:10:25.689Z,-0.03,-0.00,66.67,21,3
2025-11-05T14:10:35.703Z,-0.03,-0.00,66.67,21,3
2025-11-05T14:10:45.704Z,-0.03,-0.00,66.67,21,3
2025-11-05T14:10:55.707Z,-0.03,-0.00,66.67,21,3
2025-11-05T14:11:05.721Z,-0.03,-0.00,66.67,21,3
2025-11-05T14:11:15.723Z,-0.03,-0.00,66.67,21,3
2025-11-05T14:11:25.726Z,-0.03,-0.00,66.67,21,3
2025-11-05T14:11:35.731Z,-0.03,-0.00,66.67,21,3
2025-11-05T14:11:45.735Z,-0.03,-0.00,66.67,21,3
2025-11-05T14:11:55.736Z,-0.03,-0.00,66.67,21,3
2025-11-05T14:12:05.737Z,-0.03,-0.00,66.67,21,3
2025-11-05T14:12:15.741Z,-0.03,-0.00,66.67,21,3
2025-11-05T14:12:25.745Z,-0.03,-0.00,66.67,21,3
2025-11-05T14:12:35.753Z,-0.03,-0.00,66.67,21,3
2025-11-05T14:12:45.755Z,-0.03,-0.00,66.67,21,3
2025-11-05T14:12:55.769Z,-0.03,-0.00,66.67,21,3
2025-11-05T14:13:05.774Z,-0.03,-0.00,66.67,21,3
2025-11-05T14:13:15.785Z,-0.03,-0.00,66.67,21,3
2025-11-05T14:13:25.797Z,-0.03,-0.00,66.67,21,3
2025-11-05T14:13:35.804Z,-0.03,-0.00,66.67,21,3
2025-11-05T14:13:45.819Z,-0.03,-0.00,66.67,21,3
2025-11-05T14:15:25.505Z,0.00,0.00,0.00,0,0
2025-11-05T14:15:35.528Z,0.00,0.00,0.00,0,0
2025-11-05T14:15:45.528Z,0.00,0.00,0.00,0,0
2025-11-05T14:15:55.532Z,0.00,0.00,0.00,0,0
2025-11-05T14:16:05.534Z,0.00,0.00,0.00,0,0
2025-11-05T14:16:15.539Z,0.00,0.00,0.00,0,0
2025-11-05T14:16:25.547Z,0.00,0.00,0.00,0,0
2025-11-05T14:16:35.546Z,0.00,0.00,0.00,0,0
2025-11-05T14:17:31.945Z,0.00,0.00,0.00,0,0
2025-11-05T14:17:41.962Z,0.00,0.00,0.00,21,0
2025-11-05T14:17:51.970Z,0.00,0.00,0.00,21,0
2025-11-05T14:18:01.978Z,0.00,0.00,0.00,21,0
2025-11-05T14:18:31.987Z,0.00,0.00,0.00,21,0
2025-11-05T14:18:41.993Z,0.00,0.00,0.00,21,0
2025-11-05T14:18:51.996Z,0.00,0.00,0.00,21,0
2025-11-05T14:19:05.856Z,0.00,0.00,0.00,0,0
2025-11-05T14:19:15.872Z,0.00,0.00,0.00,21,0
2025-11-05T14:19:25.887Z,0.00,0.00,0.00,21,0
